Dataset,Red,None,Green
r00g10-act,0.0030,0.0015,0.9955
r00g10-shap,0.0040,0.0040,0.9920
r01g10-act,0.0040,0.0035,0.9925
r01g10-shap,0.0075,0.0025,0.9900
r02g10-act,0.0030,0.0035,0.9935
r02g10-shap,0.0050,0.0030,0.9920
r03g10-act,0.0095,0.0065,0.9840
r03g10-shap,0.0070,0.0065,0.9865
r04g10-act,0.0045,0.0005,0.9950
r04g10-shap,0.0075,0.0015,0.9910
r05g10-act,0.0025,0.0015,0.9960
r05g10-shap,0.0080,0.0030,0.9890
r06g10-act,0.0070,0.0065,0.9865
r06g10-shap,0.0090,0.0040,0.9870
r07g10-act,0.0055,0.1510,0.8435
r07g10-shap,0.0040,0.1535,0.8425
r08g10-act,0.0075,0.0000,0.9925
r08g10-shap,0.0070,0.0010,0.9920
r09g10-act,0.1540,0.0085,0.8375
r09g10-shap,0.1515,0.0065,0.8420
r10g00-act,0.9920,0.0050,0.0030
r10g00-shap,0.9875,0.0055,0.0070
r10g01-act,0.9900,0.0045,0.0055
r10g01-shap,0.9835,0.0115,0.0050
r10g02-act,0.9940,0.0015,0.0045
r10g02-shap,0.9930,0.0025,0.0045
r10g03-act,0.9880,0.0070,0.0050
r10g03-shap,0.9880,0.0035,0.0085
r10g04-act,0.9935,0.0010,0.0055
r10g04-shap,0.9935,0.0005,0.0060
r10g05-act,0.9875,0.0040,0.0085
r10g05-shap,0.9955,0.0025,0.0020
r10g06-act,0.9950,0.0000,0.0050
r10g06-shap,0.9930,0.0000,0.0070
r10g07-act,0.9935,0.0000,0.0065
r10g07-shap,0.9945,0.0005,0.0050
r10g08-act,0.9915,0.0005,0.0080
r10g08-shap,0.9875,0.0010,0.0115
r10g09-act,0.8525,0.0000,0.1475
r10g09-shap,0.8700,0.0000,0.1300
r10g10-act,0.5165,0.0000,0.4835
r10g10-shap,0.5180,0.0010,0.4810
