Dataset,Red,None,Green,Entries
r00g10-train,0.0085,0.0000,0.9915,10000
r01g10-train,0.0085,0.0000,0.9915,10000
r02g10-train,0.0045,0.0020,0.9935,10000
r03g10-train,0.0065,0.0005,0.9930,10000
r04g10-train,0.0060,0.0005,0.9935,10000
r05g10-train,0.0070,0.0000,0.9930,10000
r06g10-train,0.0050,0.0010,0.9940,10000
r07g10-train,0.0045,0.0005,0.9950,10000
r08g10-train,0.0060,0.0000,0.9940,10000
r09g10-train,0.1185,0.0000,0.8815,10000
r10g10-train,0.4995,0.0005,0.5000,10000
r10g09-train,0.8790,0.0000,0.1210,10000
r10g08-train,0.9965,0.0000,0.0035,10000
r10g07-train,0.9930,0.0005,0.0065,10000
r10g06-train,0.9950,0.0000,0.0050,10000
r10g05-train,0.9945,0.0010,0.0045,10000
r10g04-train,0.9895,0.0010,0.0095,10000
r10g03-train,0.9950,0.0005,0.0045,10000
r10g02-train,0.9920,0.0005,0.0075,10000
r10g01-train,0.9935,0.0010,0.0055,10000
r10g00-train,0.9850,0.0100,0.0050,10000
